,lat,lon
0,42.44160484280806,-72.24399149184322
1,42.44159857202909,-72.24399067082163
2,42.44159230125014,-72.2439898498002
3,42.441586030471164,-72.24398902877888
4,42.44157975969218,-72.24398820775771
5,42.4415734889132,-72.24398738673666
6,42.4415672181342,-72.24398656571574
7,42.44156094735521,-72.24398574469495
8,42.44155467657621,-72.2439849236743
9,42.44154840579719,-72.24398410265378
10,42.441542135018175,-72.24398328163338
11,42.44153586423914,-72.24398246061313
12,42.441529593460096,-72.243981639593
13,42.44152332268105,-72.243980818573
14,42.441517051902004,-72.24397999755313
15,42.44151078112295,-72.2439791765334
16,42.44150451034389,-72.24397835551379
17,42.441498239564815,-72.2439775344943
18,42.44149196878573,-72.24397671347496
19,42.44148569800665,-72.24397589245577
20,42.44147942722756,-72.24397507143668
21,42.44147315644844,-72.24397425041774
22,42.44146688566934,-72.24397342939892
23,42.44146061489022,-72.24397260838025
24,42.441454344111115,-72.24397178736169
25,42.44144807333197,-72.24397096634327
26,42.44144180255284,-72.24397014532497
27,42.441435531773706,-72.24396932430682
28,42.44142926099455,-72.24396850328878
